Fine Number,DateOfOffence,Original_Issue_Date,Location,CleanupCosts,CleanupCostsStr,Section_No,AreaName
22643,10/04/2011 00:00,01/07/2011 00:00,Bottlebank Watery lane Swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22641,11/04/2011 00:00,01/07/2011 00:00,Watery Lane Bottlebank Swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22639,11/04/2011 00:00,01/07/2011 00:00,Watery Lane Bottlebank Swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22640,11/04/2011 00:00,01/07/2011 00:00,Watery Lane Bottlebank Swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22581,12/04/2011 00:00,22/04/2011 00:00,Holywell Estate Swords,,0,19(1),SWORDS/BALBRIGGAN
22582,12/04/2011 00:00,22/04/2011 00:00,Holywell Estate Swords,,0,19(1),SWORDS/BALBRIGGAN
22588,13/04/2011 00:00,06/05/2011 00:00,"Santry Denesne, Santry Dublin 9",,0,3(1) pursu,MALAHIDE/HOWTH
22584,15/04/2011 00:00,22/04/2011 00:00,"Holywell Distributor Road, Holywell Swords",,0,3(1),MALAHIDE/HOWTH
22586,20/04/2011 00:00,29/04/2011 00:00,Stockhole Lane Cloghran,,0,3(1),MALAHIDE/HOWTH
22585,20/04/2011 00:00,29/04/2011 00:00,Stockhole Lane Cloghran,,0,3(1),MALAHIDE/HOWTH
22638,23/04/2011 00:00,01/07/2011 00:00,Bottlebank Watery Lane Sswords,,0,3(1),SWORDS/BALBRIGGAN
22587,27/04/2011 00:00,29/04/2011 00:00,Swords Road R132 Santry Dublin 9,,0,19(1),MALAHIDE/HOWTH
22593,03/05/2011 00:00,27/05/2011 00:00,Junction Carrickhill Road /Strand Road Portmarnock,,0,3(1) pursu,MALAHIDE/HOWTH
22805,06/05/2011 00:00,22/07/2011 00:00,Watery Lane Bottlebank Swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22804,07/05/2011 00:00,22/07/2011 00:00,Watery Lane Bottlebank Swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22589,10/05/2011 00:00,13/05/2011 00:00,R132 Dublin Airport Roundabout,,0,19(1),MALAHIDE/HOWTH
22590,10/05/2011 00:00,13/05/2011 00:00,R132 Dublin Road Swords,,0,19(1),SWORDS/BALBRIGGAN
22592,10/05/2011 00:00,13/05/2011 00:00,Swords Road R132 Santry Co. Dublin,,0,19(1),MALAHIDE/HOWTH
22594,11/05/2011 00:00,27/05/2011 00:00,Cowboother Lane Howth,,0,3(1) pursu,MALAHIDE/HOWTH
22803,15/05/2011 00:00,22/07/2011 00:00,Bottlebank Watery lane Swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22976,17/05/2011 00:00,02/09/2011 00:00,"Entrance to M1 at Airside, Swords",,0,3(1) pursu,SWORDS/BALBRIGGAN
22595,25/05/2011 00:00,27/05/2011 00:00,R132 Dublin Road Swords,,0,19(1),MALAHIDE/HOWTH
22596,26/05/2011 00:00,27/05/2011 00:00,"Ballymun Road, Ballymun",,0,19(1),MALAHIDE/HOWTH
22648,29/05/2011 00:00,08/07/2011 00:00,Malahide Village opposite Spar Shop,,0,3(1) pursu,MALAHIDE/HOWTH
22598,31/05/2011 00:00,03/06/2011 00:00,"Stockhole Lane, Cloughran, Co. Dublin",,0,3(1),SWORDS/BALBRIGGAN
22597,31/05/2011 00:00,03/06/2011 00:00,"Stockhole Lane, Cloghran",,0,3(1),SWORDS/BALBRIGGAN
22599,01/06/2011 00:00,03/06/2011 00:00,"Baskin Lane, Cloughran",,0,3(1),SWORDS/BALBRIGGAN
22600,01/06/2011 00:00,03/06/2011 00:00,"Baskin Lane, Cloghran, Co. Dublin",,0,3(1),SWORDS/BALBRIGGAN
22626,01/06/2011 00:00,03/06/2011 00:00,"Baskin Lane, Cloghran, Co. Dublin",,0,3(1),SWORDS/BALBRIGGAN
22819,04/06/2011 00:00,19/08/2011 00:00,Bottlebank Watery Lane Swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22820,05/06/2011 00:00,26/08/2011 00:00,Watery Lane Bottlebank swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22821,05/06/2011 00:00,26/08/2011 00:00,Watery lane Bottlebank Swords,,0,3(1),SWORDS/BALBRIGGAN
22635,06/06/2011 00:00,24/06/2011 00:00,SEABURY MALAHDE,,0,3(1) pursu,MALAHIDE/HOWTH
22647,06/06/2011 00:00,08/07/2011 00:00,Strand Road Portmarnock,,0,3(1) pursu,MALAHIDE/HOWTH
22825,08/06/2011 00:00,02/09/2011 00:00,"Kettles Lane, Swords",,0,3(1) pursu,SWORDS/BALBRIGGAN
22627,10/06/2011 00:00,17/06/2011 00:00,"Dunsink Lane, Fingals Dublin 11",,0,3(1),CASTLEKNOCK/MULHUDDART
22629,10/06/2011 00:00,17/06/2011 00:00,"Dunsink Lane, Finglas, DUblin 11",,0,3(1),CASTLEKNOCK/MULHUDDART
22632,10/06/2011 00:00,17/06/2011 00:00,Dunsink Lane Finglas Dublin 11,,0,3(1),CASTLEKNOCK/MULHUDDART
22631,10/06/2011 00:00,17/06/2011 00:00,Dunsink Lane Finglas Dublin 11,,0,3(1),CASTLEKNOCK/MULHUDDART
22630,10/06/2011 00:00,17/06/2011 00:00,Dunsink Lane Finglas Dublin 11,,0,3(1),CASTLEKNOCK/MULHUDDART
22628,10/06/2011 00:00,17/06/2011 00:00,"Dunsink Lane, Finglas, Dublin 11",,0,3(1),CASTLEKNOCK/MULHUDDART
22637,13/06/2011 00:00,24/06/2011 00:00,"R132, Dublin Road, Swords",,0,19(1),SWORDS/BALBRIGGAN
22634,13/06/2011 00:00,24/06/2011 00:00,"Old Ballymun road, Dublin 11",,0,3(1),CASTLEKNOCK/MULHUDDART
22636,13/06/2011 00:00,24/06/2011 00:00,R132,,0,19(1),SWORDS/BALBRIGGAN
22978,14/06/2011 00:00,02/09/2011 00:00,"Moyne Road, Balgriffin, Dublin 13",,0,3(1) pursu,MALAHIDE/HOWTH
22633,14/06/2011 00:00,24/06/2011 00:00,"The Green, Malahide, Co. Dublin",,0,3(1),MALAHIDE/HOWTH
22649,23/06/2011 00:00,15/07/2011 00:00,Outside Eurospar Kinsealy Shopping Centre Kinsealy ,,0,6(2),MALAHIDE/HOWTH
22650,23/06/2011 00:00,15/07/2011 00:00,"St. Nessans Close, Howth Co. Dublin",,0,3(1),MALAHIDE/HOWTH
22801,24/06/2011 00:00,15/07/2011 00:00,"Old Road, Portmarnock, Co. Dublin",,0,3(1),MALAHIDE/HOWTH
22802,28/06/2011 00:00,15/07/2011 00:00,"Coast Road, Malahide",,0,3(1),MALAHIDE/HOWTH
22807,28/06/2011 00:00,22/07/2011 00:00,"Main Street, Malahide",,0,3(3),MALAHIDE/HOWTH
22806,06/07/2011 00:00,22/07/2011 00:00,Holywell Distributor Road Holywell Swords,,0,3(1),SWORDS/BALBRIGGAN
22808,09/07/2011 00:00,05/08/2011 00:00,Balgriffin Road Balgriffin Dublin 13,,0,3(1),MALAHIDE/HOWTH
