Bin No,Bin Type,Street,Ward-DED,LEA,DCC Area,NG Eastings,NG Northings,ITM Eastings,ITM Northings,Date surveyed,Advert Space,Used Advert space,Cig Butt container,Location: Footpath,Location: Residential,Location: Retail/Shop,Location:School,Location: Public Building,Location: Park,Location: Other,Damaged,Accessible,Depot,BIDS area,Fingal Co Co,South Dublin Co Co,DLR Co Co,Other,CBD Area
2075189,A,LIFFEY STREET LOWER,NORTH CITY,NORTH INNER CITY,CENTRAL,315707,234339,715633,734365,27/02/2008,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075190,A,LIFFEY STREET LOWER,NORTH CITY,NORTH INNER CITY,CENTRAL,315717,234328,715643,734354,27/02/2008,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075193,A,O'CONNELL STREET UPPER,NORTH CITY,NORTH INNER CITY,CENTRAL,315832,234873,715758,734899,22/02/2008,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,GARDA STATION,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075194,F,O'CONNELL STREET UPPER,NORTH CITY,NORTH INNER CITY,CENTRAL,315854,234891,715780,734917,21/02/2008,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075195,F,O'CONNELL STREET UPPER,NORTH CITY,NORTH INNER CITY,CENTRAL,315856,234885,715782,734911,21/02/2008,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075196,A,O'CONNELL STREET UPPER,NORTH CITY,NORTH INNER CITY,CENTRAL,315863,234858,715789,734884,21/02/2008,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075197,A,O'CONNELL STREET UPPER,NORTH CITY,NORTH INNER CITY,CENTRAL,315840,234847,715766,734873,21/02/2008,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075198,A,O'CONNELL STREET UPPER,NORTH CITY,NORTH INNER CITY,CENTRAL,315846,234821,715772,734847,21/02/2008,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075199,F,O'CONNELL STREET UPPER,NORTH CITY,NORTH INNER CITY,CENTRAL,315867,234844,715793,734870,21/02/2008,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075200,A,O'CONNELL STREET UPPER,NORTH CITY,NORTH INNER CITY,CENTRAL,315876,234816,715802,734842,21/02/2008,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075201,F,O'CONNELL STREET UPPER,NORTH CITY,NORTH INNER CITY,CENTRAL,315853,234798,715779,734824,21/02/2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075202,A,O'CONNELL STREET UPPER,NORTH CITY,NORTH INNER CITY,CENTRAL,315859,234774,715785,734800,21/02/2008,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075203,A,O'CONNELL STREET UPPER,NORTH CITY,NORTH INNER CITY,CENTRAL,315889,234771,715815,734797,21/02/2008,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075204,A,O'CONNELL STREET UPPER,NORTH CITY,NORTH INNER CITY,CENTRAL,315891,234762,715817,734788,21/02/2008,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075205,F,O'CONNELL STREET UPPER,NORTH CITY,NORTH INNER CITY,CENTRAL,315867,234749,715793,734775,21/02/2008,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,BUS STOP,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
2075206,F,O'CONNELL STREET UPPER,NORTH CITY,NORTH INNER CITY,CENTRAL,315874,234727,715800,734753,21/02/2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,TRUE,FALSE,FALSE,FALSE,,TRUE
