STREET,DISTRICT,WARD,FROM,TO,,,,
CARLTON LANE,CARLTON,OTLEY AND YEADON,OTLEY OLD ROAD, CROSS LANE,,,,
CARR CROFTS,ARMLEY,ARMLEY,TONG ROAD,TOWN STREET,,,,
CARR LANE,THORNER,HAREWOOD,COAL ROAD  SHADWELL,WETHERBY ROAD,,,,
CARR LANE,RAWDON,HORSFORTH,TOWN STREET,LEEDS ROAD,,,,
CARR LANE,THORNER,HAREWOOD,WETHERBY ROAD,MAIN STREET- THORNER,,,,
CARR MANOR ROAD,MOORTOWN,MOORTOWN,KING LANE,STAINBECK ROAD,,,,
CARR ROAD,CALVERLEY,CALVERLEY AND FARSLEY,TOWN GATE,NEW LINE,,,,
CARRFIELD ROAD,BARWICK,HAREWOOD,MAIN STREET,LEEDS ROAD,,,,
CARTMELL DRIVE,HALTON,TEMPLE NEWSAM,HALTON MOOR AVENUE,HALTON MOOR ROAD,,,,
CATTLE LANE,ABERFORD,HAREWOOD,MAIN STREET,ASS BRIDGE,,,,
CATTLE MARKET STREET,OTLEY,OTLEY AND YEADON,NORTH PARADE,BRIDGE STREET,,,,
CAVENDISH ROAD,GUISELEY,GUISELEY AND RAWDON,VICTORIA ROAD,BACK LANE,,,,
CEMETERY LANE,LOFTHOUSE,ARDSLEY AND ROBIN HOOD,CARLTON LANE,TOWN STREET,,,,
CEMETERY ROAD,YEADON,OTLEY AND YEADON,WARREN HOUSE LANE,CARLTON LANE,,,,
CEMETERY ROAD,PUDSEY,PUDSEY,RICHARDSHAW LANE,OWLCOTES,,,,
CEMETERY ROAD,YEADON,OTLEY AND YEADON,HIGH STREET,WARREN HOUSE LANE,,,,
CEMETERY ROAD,BEESTON,BEESTON AND HOLBECK,BEESTON ROAD,ELLAND ROAD,,,,
CENTURY WAY,COLTON,GARFORTH AND SWILLINGTON,SELBY ROAD,MOTORWAY ROUNDABOUT,,,,
CHADWICK STREET,HUNSLET,CITY AND HUNSLET,BLACK BULL STREET,HUNSLET ROAD,,,,
CHADWICK STREET SOUTH,HUNSLET,CITY AND HUNSLET,CHADWICK STREET,CARLISLE ROAD,,,,
CHAPEL HILL,MORLEY,MORLEY NORTH,QUEEN STREET,CHURCH STREET,,,,
CHAPEL LANE,FARNLEY,FARNLEY AND WORTLEY,HALL LANE,MAPLE DRIVE,,,,
CHAPEL LANE,CLIFFORD,WETHERBY,ALBION STREET,HIGH STREET,,,,
CHAPEL STREET,CARLTON,ROTHWELL,WESTFIELD ROAD,NEW ROAD,,,,
CHAPEL STREET,HALTON,TEMPLE NEWSAM,SELBY ROAD,PINFOLD LANE,,,,
CHAPEL STREET,TINGLEY,ARDSLEY AND ROBIN HOOD,BRADFORD ROAD,MAIN STREET,,,,
CHAPELTOWN,PUDSEY,PUDSEY,UPPERMOOR,CHURCH LANE,,,,
CHAPELTOWN ROAD,SHEEPSCAR,CHAPEL ALLERTON,BARRACK ROAD,NORTH STREET,,,,
CHAPELTOWN ROAD,SHEEPSCAR,CHAPEL ALLERTON,HAREHILLS LANE,BARRACK ROAD,,,,
CHARTISTS WAY,MORLEY,MORLEY SOUTH,FOUNTAIN STREET,HIGH STREET / BRIDGE STREET ROUNDABOUT,,,,
CHATSWORTH ROAD,HAREHILLS,GIPTON AND HAREHILLS,HAREHILLS LANE,FOUPartY WALK,,,,
CHELWOOD AVENUE,ROUNDHAY,MOORTOWN,JUNCTION CHELWOOD MOUNT/ GROVE / PartIVE,CHELWOOD GROVE,,,,
CHELWOOD DRIVE,ROUNDHAY,MOORTOWN,STREET LANE,CHELWOOD GROVE/CHELWOOD AVENUE,,,,
CHELWOOD GROVE,ROUNDHAY,MOORTOWN,JUNCTION SHADWELL WALK & WEST PARK PartIVE,JUNCTION CHELWOOD MOUNT / AVENUE & PartIVE,,,,
CHESTNUT AVENUE,HEADINGLEY,HEADINGLEY,BRUDENELL ROAD,VICTORIA ROAD,,,,
CHEVIN END ROAD,GUISELEY,GUISELEY AND RAWDON,WEST CHEVIN ROAD,NETHERFIELD ROAD,,,,
CHIPPENDALE RISE,OTLEY,OTLEY AND YEADON,THE CROSSWAY,FARNLEY LANE,,,,
CHURCH AVENUE,HORSFORTH,HORSFORTH,CHURCH LANE,LONG ROW,,,,
CHURCH CAUSEWAY,THORP ARCH,WETHERBY,THE VILLAGE NORTH TO WETHERBY ROAD,AND EAST TO WHINS LANE,,,,
CHURCH HILL,BRAMHOPE,ADEL AND WHARFEDALE,EASTGATE (OLD BRAMHOPE LANE),LEEDS ROAD,,,,
CHURCH HILL,THORNER,HAREWOOD,MILNER LANE,,,,,
MILNER LANE,BRAMHAM ROAD,,,,,,,
CHURCH LANE,PUDSEY,PUDSEY,LOWTOWN,CHAPELTOWN,,,,
CHURCH LANE,GARFORTH,GARFORTH AND SWILLINGTON,MAIN STREET,NINELANDS LANE,,,,
CHURCH LANE,BARDSEY,HAREWOOD,BLACKMOOR LANE,WETHERBY ROAD,,,,
CHURCH LANE,MICKLEFIELD,KIPPAX AND METHLEY,OLD GREAT NORTH ROAD,ROMAN ROAD,,,,
CHURCH LANE,METHLEY,KIPPAX AND METHLEY,SAVILLE ROAD,LEEDS ROAD,,,,
CHURCH LANE,HORSFORTH,HORSFORTH,TOWN STREET,HALL PARK AVENUE,,,,
CHURCH LANE,ADEL,ADEL AND WHARFEDALE,OTLEY ROAD,BACK CHURCH LANE,,,,
CHURCH LANE,CHAPEL ALLERCHURCH LANE,MEANWOOD,MOORTOWN,GREEN ROAD,PARKSIDE ROAD,,,
E ROAD,BARWICK ROAD,,,,,,,
CHURCH LANE,SWILLINGTON,GARFORTH AND SWILLINGTON,WAKEFIELD ROAD,SWILLINGTON LANE,,,,
CHURCH ROAD,HORSFORTH,HORSFORTH,CHURCH AVENUE,HALL LANE,,,,
CHURCH ROAD,ARMLEY,ARMLEY,WESLEY ROAD,HALL LANE,,,,
CHURCH SIDE,METHLEY,KIPPAX AND METHLEY,LEEDS ROAD,BARNSDALE ROAD,,,,
CHURCH STREET,BOSTON SPA,WETHERBY,HIGH STREET,ST JOHNS ROAD,,,,
CHURCH STREET,GILDERSOME,MORLEY NORTH,TOWN STREET,SCOTT GREEN,,,,
CHURCH STREET,WOODLESFORD,ROTHWELL,HOMESLEY LANE / OULTON LANE,POTTERTON LANE / RAILWAY,,,,
CHURCH STREET,ROTHWELL,ROTHWELL,INGRAM PARADE,COMMERCIAL STREET,,,,
CHURCH STREET,MORLEY,MORLEY NORTH,VICTORIA ROAD,CHAPEL HILL,,,,
CHURCH STREET,HUNSLET,CITY AND HUNSLET,LOW ROAD,HILLIDGE ROAD,,,,
CHURCH VIEW,THORNER,HAREWOOD,MAIN STREET (WAR MEMORIAL),MILNER LANE,,,,
CITY SQUARE,CENTRAL,CITY AND HUNSLET,QUEBEC STREET WELLINGTON STREET BOAR LANE BISHOPGATE STREET,PARK ROW INFIRMARY STREET,,,,
CLAPGATE,OTLEY,OTLEY AND YEADON,MANOR SQUARE,BRIDGE STREET,,,,
CLARENCE ROAD,HUNSLET,CITY AND HUNSLET,SOUTH ACCOMMODATION ROAD,ARMOURIES PartIVE,,,,
CLARENDON ROAD,WOODHOUSE,HYDE PARK AND WOODHOUSE,WOODHOUSE LANE,KENDAL LANE,,,,
CLAY PIT LANE,SHEEPSCAR,HYDE PARK AND WOODHOUSE,CHAPELTOWN ROAD (INBOUND),WOODHOUSE LANE,,,,
CLAY PIT LANE,SHEEPSCAR,HYDE PARK AND WOODHOUSE,WOODHOUSE LANE,MEANWOOD ROAD(Outbound),,,,
CLAYPIT LANE,LEDSHAM,KIPPAX AND METHLEY,BACK NEWTON LANE,CHURCH LANE,,,,
CLAYTON WOOD CLOSE,WEST PARK,WEETWOOD,CLAYTON WOOD RISE IVESON HOUSE INDUSTRIAL ESTATE,EASTERLY (INCLUDING LOOP),,,,
CLAYTON WOOD RISE,WEST PARK,WEETWOOD,RING ROAD W/PARK IVESON HOUSE LIGHT IND ESTATE,NORTH WESTERLY,,,,
CLIFF CRESCENT,KIPPAX,KIPPAX AND METHLEY,GIBSON LANE,PARK AVENUE,,,,
CLIFFORD MOOR ROAD,CLIFFORD,WETHERBY,HIGH STREET,,,,,
HIGH STREET,WILLOW LANE,,,,,,,
CLIFFORD MOOR ROAD,BOSTON SPA,WETHERBY,HIGH STREET,WILLOW LANE,,,,
CLIFFORD ROAD,BRAMHAM,WETHERBY,FRONT STREET,BRAMHAM ROAD,,,,
CLOUGH STREET,MORLEY,MORLEY SOUTH,ALBERT ROAD,WIDE LANE,,,,
COAL HILL LANE,FARSLEY,BRAMLEY AND STANNINGLEY,RODLEY LANE,INTAKE LANE,,,,
COAL HILL LANE,FARSLEY,BRAMLEY AND STANNINGLEY,INTAKE LANE,BAGLEY LANE,,,,
COAL ROAD,SEACROFT,CROSS GATES AND WHINMOOR,YORK ROAD,BAY HORSE LANE,,,,
COAL ROAD,WIKE,HAREWOOD,TARN LANE,BACKSTONE GILL LANE,,,,
COCKSHOTT LANE,ARMLEY,ARMLEY,ARMLEY RIDGE ROAD/STANNNINGLEY ROAD,GREENHILL ROAD,,,,
COLDCOTES AVENUE,HAREHILLS,GIPTON AND HAREHILLS,HAREHILLS LANE,FOUNPartY APPROACH,,,,
COLDCOTES CIRCUS,HAREHILLS,GIPTON AND HAREHILLS,COLDCOTES PartIVE,COLCOTES PartIVE NORTH & SOUTH,,,,
COLDCOTES DRIVE,HAREHILLS,GIPTON AND HAREHILLS,OAKWOD LANE,SOUTH WEST,,,,
COLLEGE ROAD,GILDERSOME,MORLEY NORTH,GELDERD ROAD,TOWN STREET,,,,
COLLIER LANE,ABERFORD,HAREWOOD,LOTHERTON LANE,A1,,,,
COLTON LANE,COLTON,TEMPLE NEWSAM,SELBY ROAD AT WHITKIRK ROUNDABOUT,JUNCTION OF COLTON ROAD EAST AND SCHOOL LANE,,,,
COLTON ROAD,COLTON,TEMPLE NEWSAM,SELBY ROAD,SOUTH TO FORK IN ROAD ADJACENT TO NO. 8 MANOR CROFT,,,,
COLTON ROAD EAST,COLTON,TEMPLE NEWSAM,STILE HILL WAY,JUNCTION WITH SCHOOL LANE AND COLTON LANE,,,,
COLWYN ROAD,BEESTON,CITY AND HUNSLET,TRENTHAM STREET,DEWSBURY ROAD,,,,
COMMERCIAL ROAD,KIRKSTALL,KIRKSTALL,BRIDGE ROAD,KIRKSTALL ROAD,,,,
COMMERCIAL STREET,ROTHWELL,ROTHWELL,GILLETT LANE,CROSS STREET,,,,
COMMERCIAL STREET,MORLEY,MORLEY SOUTH,WIDE LANE,TROY ROAD,,,,
COMMON LANE,EAST ARDSLEY,ARDSLEY AND ROBIN HOOD,BRADFORD ROAD,STATION TERRACE / STATION LANE,,,,
COMPTON ROAD,BURMANTOFTS,GIPTON AND HAREHILLS,STONEY ROACK LANE,HAREHILLS LANE,,,,
CONSTABLE ROAD,WEST ARDSLEY,ARDSLEY AND ROBIN HOOD,WESTERTON ROAD,SMITHY LANE,,,,
COOKRIDGE DRIVE,COOKRIDGE,ADEL AND WHARFEDALE,CRAG HILL AVENUE,COOKRIDGE LANE,,,,
COOKRIDGE LANE,COOKRIDGE,ADEL AND WHARFEDALE,TINSHILL ROAD/ OTLEY OLD ROAD,CITY BOUNDARY AT OTLEY OLD ROAD / MOOR ROAD,,,,
COOKRIDGE STREET,CENTRAL,CITY AND HUNSLET,THE HEAPartOW,WOODHOUSE LANE,,,,
COPLEY HILL,NEW FARNLEY,BEESTON AND HOLBECK,WELLINGTON ROAD,GELDERD ROAD,,,,
COPLEY LANE,ROBIN HOOD,ARDSLEY AND ROBIN HOOD,LEADWELL LANE,LEEDS - EXETER A.61,,,,
COPLEY LANE,ABERFORD,HAREWOOD,LOTHERTON LANE,North Yorks Boundary,,,,
CORONATION PARADE,HALTON,TEMPLE NEWSAM,RATHMELL ROAD,CARTMELL PartIVE,,,,
CORPORATION STREET,MORLEY,MORLEY SOUTH,BRUNTCLIFFE LANE,FOUNTAIN STREET,,,,
COTCOTTINGLEY DRIVE,BEESTON,BEESTON AND HOLBECK,RING ROAD BEESTON,ELLAND ROAD,,,,
COUPLAND STREET,BEESTON,CITY AND HUNSLET,BEESTON ROAD,LADY PIT LANE,,,,
COURTHOUSE STREET,OTLEY,OTLEY AND YEADON,BRIDGE STREET,NORTH PARADE,,,,
COWPER STREET,CHAPELTOWN,CHAPEL ALLERTON,LEEDS & HARROGATE ROAD,SPENCER PLACE,,,,
CRAB LANE,ARMLEY,ARMLEY,STANNINGLEY ROAD / BRANCH ROAD JUNCTION,TOWN STREET ARMLEY,,,,
CRABTREE LANE,EAST KESWICK,HAREWOOD,HAREWOOD ROAD,WHITEGATE,,,,
CRAGSIDE WALK,KIRKSTALL,KIRKSTALL,BROADWAY,LEA FARM ROAD,,,,
CRANMER BANK,MOORTOWN,ALWOODLEY,CRANMER RISE,CRANMER ROAD,,,,
CRANMER GARDENS,MOORTOWN,ALWOODLEY,CRANMER ROAD,CRANMER RISE,,,,
CRANMER RISE,MOORTOWN,ALWOODLEY,CRANMER GARDENS,NORTH WEST DEANSWOOD PartIVE,,,,
CRANMER ROAD,MOORTOWN,ALWOODLEY,KING LANE,CRANMER GARDENS,,,,
CRANMORE DRIVE,MIDDLETON,MIDDLETON PARK,CRANMORE RISE,RAYLAND ROAD,,,,
CRANMORE RISE,MIDDLETON,MIDDLETON PARK,RAYLANDS WAY,CRANMORE DRIVE,,,,
CRANMORE ROAD,MIDDLETON,MIDDLETON PARK,THROSTLE ROAD,CRANMORE CRESCENT,,,,
CRESKELD CRESCENT,BRAMHOPE,ADEL AND WHARFEDALE,BREARS LANE,CRESKELD PartIVE,,,,
CRESKELD DRIVE,BRAMHOPE,ADEL AND WHARFEDALE,CRESKELD CRESCENT,HALL DRIVEE,,,,
CROSBY ROAD,HOLBECK,BEESTON AND HOLBECK,ELLAND ROAD,BROWN LANE EAST,,,,
CROSS CHANCELLOR STREET,WOODHOUSE,HYDE PARK AND WOODHOUSE,MOSELEY PLACE,MEANWOOD ROAD,,,,
CROSS FLATTS AVENUE,BEESTON,BEESTON AND HOLBECK,DEWSBURY ROAD,WOOLER GROVE,,,,
CROSS FLATTS GROVE,BEESTON,BEESTON AND HOLBECK,BEESTON ROAD,DEWSBURY ROAD,,,,
CROSS GATES LANE,CROSSGATES,KILLINGBECK AND SEACROFT,YORK ROAD,CROSS GATES ROAD,,,,
CROSS GATES ROAD,CROSSGATES,KILLINGBECK AND SEACROFT,YORK ROAD,CROSS GATES LANE,,,,
CROSS GREEN,OTLEY,OTLEY AND YEADON,POOL ROAD,BOROUGHGATE,,,,
CROSS GREEN APPROACH,CROSS GREEN,BURMANTOFTS AND RICHMOND HILL,KNOWSTHORPE LANE,PONTEFRACT LANE,,,,
CROSS GREEN LANE,CROSS GREEN,BURMANTOFTS AND RICHMOND HILL,EAST STREET,PONTEFRACT LANE,,,,
CROSS GREEN LANE,HALTON,TEMPLE NEWSAM,PINFOLD LANE,GREEN LANE,,,,
CROSS GREEN WAY,CROSS GREEN,BURMANTOFTS AND RICHMOND HILL,CROSS GREEN APPROACH,KNOWSTHORPE GATE,,,,
CROSS HILLS,KIPPAX,KIPPAX AND METHLEY,LEEDS ROAD,BUTT HILL,,,,
CROSS HILLS,KIPPAX,KIPPAX AND METHLEY,LEEDS ROAD,BUTT HILL,,,,
CROSS LANE,FARNLEY,FARNLEY AND WORTLEY,STONEBRIDGE LANE,WHINCOVER PartIVE,,,,
CROSS STAMFORD STREET,SHEEPSCAR,CITY AND HUNSLET,SKINNER LANE,BENSON STREET,,,,
CROSS STREET,WETHERBY,WETHERBY,HIGH STREET,MARKET,,,,
CROSSGATE,OTLEY,OTLEY AND YEADON,BOROUGHGATE,BONDGATE,,,,
CROSSLEY STREET,WETHERBY,WETHERBY,BARLEYFIELDS WALK,WEST GATE,,,,
CROW NEST LANE,BEESTON,BEESTON AND HOLBECK,JUNCTION WITH ELLAND ROAD AND RING ROAD BEESTON,TOWN STREET,,,,
CROWN POINT ROAD,HUNSLET,CITY AND HUNSLET,HUNSLET LANE,EAST STREET,,,,
DAVID STREET,HOLBECK,CITY AND HUNSLET,WATER LANE,MANOR ROAD,,,,
DAWSONS CORNER,STANNINGLEY,CALVERLEY AND FARSLEY,COTE LANE,NORTH EAST- EASTERLY - NORTH,,,,
DEAN LANE,HORSFORTH,OTLEY AND YEADON,OTLEY OLD ROAD,SCOTLAND LANE,,,,
DEANSWOOD DRIVE,MOORTOWN,ALWOODLEY,CRANMER RISE,DEANSWOOD HILL,,,,
DEANSWOOD HILL,MOORTOWN,ALWOODLEY,CRANMER BANK,BLACKMOOR ROAD,,,,
DEIGHTON ROAD,WETHERBY,WETHERBY,YORK ROAD,WETHERBY ROAD,,,,
DELPH LANE,WOODHOUSE,HYDE PARK AND WOODHOUSE,WOODHOUSE STREET,WOODHOUSE RIDGE,,,,
DEWSBURY ROAD,TINGLEY,MORLEY SOUTH,MILLSHAW ROAD A6110,M62 R/BT JUNCTION A650,,,,
DEWSBURY ROAD,HOLBECK,CITY AND HUNSLET,MEADOW LANE,PARKFIELD STREET,,,,
DEWSBURY ROAD,WOODKIRK,MORLEY SOUTH,RING ROAD BEESTON,TO JUNCTION WITH QUARRY LANE WOODKIRK,,,,
DEWSBURY ROAD,HOLBECK,CITY AND HUNSLET,PARKFIELD STREET,MILLSHAW ROAD A6110 (WHITE ROSE R/BT),,,,
DIAL STREET,CROSS GREEN,BURMANTOFTS AND RICHMOND HILL,AYLESFORD STREET,EASY ROAD,,,,
DIB LANE,ROUNDHAY,KILLINGBECK AND SEACROFT,OAKWOOD LANE,EASTERLY ROAD,,,,
DIXON LANE,WORTLEY,FARNLEY AND WORTLEY,LOWER WORTLEY ROAD,WHITEHALL ROAD,,,,
DOMESTIC ROAD,HOLBECK,BEESTON AND HOLBECK,DOMESTIC STREET,GELDERD ROAD,,,,
DOMESTIC STREET,HOLBECK,BEESTON AND HOLBECK,STEAD STREET,TOWN GATE,,,,
DONISTHORPE STREET,CROSS GREEN,CITY AND HUNSLET,GOODMAN STREET,SOUTH ACCOMMODATION ROAD,,,,
DOWKELL LANE,THORP ARCH,WETHERBY,WOOD LANE,WALTON ROAD,,,,
DRIGHLINGTON BY-PASS,LEEDS,MORLEY NORTH,JUNC WITH GELDERD ROAD & WAKEFIELD ROAD,BEYOND LCC BOUNDARY,,,,
DUKE STREET,CITY,CITY AND HUNSLET,MARSH LANE,YORK STREET,,,,
DUNCAN AVENUE,OTLEY,OTLEY AND YEADON,BRADFORD ROAD,WEST BUSK LANE,,,,
DUNCAN STREET,CENTRAL,CITY AND HUNSLET,BRIGGATE,NEW MARKET STREET,,,,
EAST CHEVIN ROAD,OTLEY,OTLEY AND YEADON,GAY LANE,OTLEY OLD ROAD,,,,
EAST GRANGE DRIVE,BELLE ISLE,MIDDLETON PARK,BELLE - ISLE ROAD,EAST GRANGE GARTH,,,,
EAST PARADE,CENTRAL,CITY AND HUNSLET,INFIRMARY STREET,THE HEAPartOW,,,,
EAST PARK PARADE,BURMANTOFTS,BURMANTOFTS AND RICHMOND HILL,EAST PARK ROAD,VICTORIA AVENUE,,,,
EAST PARK ROAD,BURMANTOFTS,BURMANTOFTS AND RICHMOND HILL,PONTEFRACT LANE,VICTORIA AVENUE,,,,
EAST STREET,CENTRAL,CITY AND HUNSLET,MARSH LANE,CROSS GREEN LANE,,,,
EAST STREET,CENTRAL,CITY AND HUNSLET,MARSH LANE,DUKE STREET,,,,
EASTERLY ROAD,GIPTON,ROUNDHAY,Traffic Lights Wetherby Rd/Easterley Road,North of Traffic Lights (where Easterley Rd becomes Wetherby Rd 90m stretch),,,,
EASTERLY ROAD,GIPTON,ROUNDHAY,ROUNDAY ROAD,Traffic Lights WETHERBY ROAD/Easterley Road,,,,
EASTGATE,CENTRAL,CITY AND HUNSLET,EASTGATE ROUNDABOUT,VICAR LANE,,,,
EASTGATE,BRAMHOPE,ADEL AND WHARFEDALE,OLD BRAMHOPE LANE,BREARY LANE,,,,
EASTGATE,CENTRAL,CITY AND HUNSLET,EASTGATE ROUNDABOUT,NEW YORK ROAD,,,,
EASTLEIGH DRIVE,WEST ARDSLEY,ARDSLEY AND ROBIN HOOD,FAIRLEIGH ROAD,WESTERTON ROAD,,,,
EASTWOOD LANE,SEACROFT,CROSS GATES AND WHINMOOR,BARWICK ROAD,STANKS LANE SOUTH,,,,
EASY ROAD,CROSS GREEN,BURMANTOFTS AND RICHMOND HILL,DIAL STREET,PONTEFRACT LANE,,,,
ECCUP LANE,ECCUP,ALWOODLEY,KING LANE,HIGH WEARDLEY LANE,,,,
ECCUP LANE,ECCUP,ALWOODLEY,CHURCH LANE,KING LANE,,,,
EDEN DRIVE,KIRKSTALL,KIRKSTALL,KIRKSTALL HILL,ST ANNS LANE,,,,
ELDER ROAD,BRAMLEY,ARMLEY,STANNINGLEY ROAD,SWINNOW ROAD,,,,
ELLAND ROAD,CHURWELL,MORLEY NORTH,VICTORIA ROAD,RING ROAD BEESTON,,,,
ELLAND ROAD,HOLBECK,BEESTON AND HOLBECK,CEMETERY ROAD,RING ROAD BEESTON,,,,
ELLERBY LANE,CROSS GREEN,BURMANTOFTS AND RICHMOND HILL,UPPER ACCOMMODATION ROAD,EAST STREET,,,,
ELLERBY ROAD,CROSS GREEN,BURMANTOFTS AND RICHMOND HILL,ELLERBY LANE,RICHMOND STREET,,,,
ELMETE AVENUE,ROUNDHAY,ROUNDHAY,WETHERBY ROAD,NORTH LANE,,,,
ELMETE DRIVE,ROUNDHAY,ROUNDHAY,WETHERBY ROAD,ELMETE WALK,,,,
ELMETE LANE,ROUNDHAY,ROUNDHAY,JUNCTION WITH COLLIERS LANE AND WHINMOOR LANE,JUNCTION WITH WETHERBY ROAD AND ASKET HILL,,,,
ELMETE WALK,ROUNDHAY,ROUNDHAY,ELMETE PartIVE,NORTH LANE,,,,
ELMWOOD LANE,BARWICK,HAREWOOD,LEEDS ROAD,THE BOYLE,,,,
FAIRBURN DRIVE,GARFORTH,GARFORTH AND SWILLINGTON,HAZELWOOD AVENUE,GREEN LANE,,,,
FAIRLEIGH ROAD,WEST ARDSLEY,ARDSLEY AND ROBIN HOOD,SMITHY ROAD,EASTLEIGH PartIVE,,,,
FALL LANE,EAST ARDSLEY,ARDSLEY AND ROBIN HOOD,MAIN STREET (EAST ARDSLEY),STANHOPE ROAD (ROTHWELL),,,,
FARFIELD DRIVE,FARSLEY,CALVERLEY AND FARSLEY,FARFIELD AVENUE,RICHMOND ROAD,,,,
FARNLEY LANE,OTLEY,OTLEY AND YEADON,BILLAMS HILL,WRENBECK DRIVE,,,,
FARRAR LANE,ADEL,ADEL AND WHARFEDALE,OTLEY OLD ROAD,OTLEY ROAD,,,,
FARTOWN,PUDSEY,PUDSEY,GREENSIDE,HARE LANE,,,,
FAWCETT LANE,LOWER WORTLEY,FARNLEY AND WORTLEY,BLUE HILL LANE,LOWER WORTLEY ROAD,,,,
FEARNVILLE PLACE,ROUNDHAY,KILLINGBECK AND SEACROFT,GRANGE PARK ROAD,SOUTH TO END,,,,
FEARNVILLE ROAD,ROUNDHAY,KILLINGBECK AND SEACROFT,OAKWOOD LANE,FEARNVILLE PLACE,,,,
FEATHERBANK AVENUE,HORSFORTH,HORSFORTH,NEW ROAD SIDE,FEATHERBANK LANE,,,,
FEATHERBANK LANE,HORSFORTH,HORSFORTH,BROADWAY,NEW ROAD SIDE,,,,
FIELD END ROAD,HALTON,TEMPLE NEWSAM,SELBY ROAD,TEMPLE LEA,,,,
FILLINGFIR DRIVE,WEST PARK,KIRKSTALL,LATCHMERE DRIVE,RING ROAD WEETWOOD,,,,
FINK HILL,HORSFORTH,HORSFORTH,BROADWAY,CHURCH ROAD,,,,
FINKLE LANE,GILDERSOME,MORLEY NORTH,STREET LANE,TOWN STREET,,,,
FIRST AVENUE,WETHERBY,WETHERBY,WALTON ROAD,THIRD AVENUE,,,,
FITZROY DRIVE,ROUNDHAY,ROUNDHAY,GLEDHOW WOOD ROAD,GLEDHOW LANE,,,,
FLAX PLACE,RICHMOND HILL,BURMANTOFTS AND RICHMOND HILL,RAILWAY STREET,RICHMOND STREET,,,,
FORGE LANE,WIKE,HAREWOOD,BACKSTONE GILL LANE,JUNCTION WITH WIKE LANE AND FORTSHOT LANE,,,,
FORSTER STREET,MIDDLETON,CITY AND HUNSLET,DONISTHORPE STREET,GOODMAN STREET,,,,
FOUNDRY APPROACH,HAREHILLS,GIPTON AND HAREHILLS,HAREHILLS LANE,COLDCOTES CIRCUS,,,,
FOUNDRY AVENUE,HAREHILLS,GIPTON AND HAREHILLS,OAK TREE DRIVE,FOUNDRY DRIVE,,,,
FOUNDRY DRIVE,HAREHILLS,GIPTON AND HAREHILLS,FOUNDRY AVENUE,FOUNDRY WALK,,,,
FOUNDRY LANE,SEACROFT,KILLINGBECK AND SEACROFT,JUNCTION WITH OAKWOOD LANE BEECH LANE AND AMBERTON ROAD,JUNCTION WITH YORK ROAD AND CROSS GATES ROAD,,,,
FOUNDRY MILL DRIVE,SEACROFT,KILLINGBECK AND SEACROFT,FOUNPartY LANE,SOUTH PARKWAY,,,,
FOUNDRY MILL STREET,SEACROFT,KILLINGBECK AND SEACROFT,FOUNPartY MILL PartIVE,PARKWAY VALE,,,,
FOUNDRY WALK,HAREHILLS,GIPTON AND HAREHILLS,ST WILFRIDS CIRCUS,CHATSWORTH ROAD,,,,
FOUNTAIN STREET,MORLEY,MORLEY SOUTH,BRITANNIA ROAD,WIDE LANE,,,,
FOURTH AVENUE,WETHERBY,WETHERBY,THIRD AVENUE,WALTON ROAD,,,,
FREELY LANE,BRAMHAM,WETHERBY,C166 ABERFORD ROAD,CRAG GARDENS,,,,
FRONT STREET,BRAMHAM,WETHERBY,WETHERBY ROAD,JUNCTION WITH BOWCLIFFE ROAD AND LOW WAY,,,,
GALLOWAY LANE,PUDSEY,CALVERLEY AND FARSLEY,OWLCOTES ROAD,WATERLOO ROAD,,,,
GAMBLE HILL DRIVE,GAMBLE HILL,FARNLEY AND WORTLEY,HENCONNER LANE,PUDSEY ROAD,,,,
GAMBLE LANE,FARNLEY,FARNLEY AND WORTLEY,WATER LANE,TONG ROAD,,,,
GANNERS HILL,BRAMLEY,BRAMLEY AND STANNINGLEY,LEEDS/BRADFORD ROAD,WELLINGTON GROVE,,,,
GARDEN HOUSE LANE,WEST ARDSLEY,ARDSLEY AND ROBIN HOOD,BRADFORD ROAD,WESTERTON ROAD,,,,
GARNET ROAD,HUNSLET,CITY AND HUNSLET,BURTON ROAD,DEWSBURY ROAD,,,,
GASCOIGNE ROAD,LOFTHOUSE,ARDSLEY AND ROBIN HOOD,STANHOPE ROAD/STATION LANE,LINGWELL GATE LANE,,,,
GAY LANE,OTLEY,OTLEY AND YEADON,BOND GATE,CHEVIN BOTTOM,,,,
GELDERD LANE,GILDERSOME,BEESTON AND HOLBECK,GELDERD ROAD,END,,,,
GELDERD ROAD,WORTLEY,BEESTON AND HOLBECK,Ring Road,Boundary,,,,
GELDERD ROAD,WORTLEY,BEESTON AND HOLBECK,Domestic Street,Boundary,,,,
GELDERD ROAD,GILDERSOME,MORLEY NORTH,JUNCT WITH M621 BRADFORD RD WAKEFIELD RD & PartIGHLINGTON BY-PASS,M62 JUNCTION 27 BIRSTALL,,,,
GELDERD ROAD,WORTLEY,BEESTON AND HOLBECK,INGRAM DISTRIBUTOR,DOMESTIC ROAD,,,,
GIBRALTAR ISLAND ROAD,HUNSLET,CITY AND HUNSLET,OLD MILL LANE,SEVERN WAY,,,,
GIBSON LANE,KIPPAX,KIPPAX AND METHLEY,LEEDS ROAD,HIGH STREET,,,,
