STREET,DISTRICT,WARD,FROM,TO,,,,
ASKET HILL,ROUNDHAY,ROUNDHAY,WETHERBY ROAD,EASTERLY ROAD,,,,
ASQUITH AVENUE,MORLEY,MORLEY NORTH,VICTORIA ROAD,GELDERD ROAD,,,,
ASTLEY LANE,SWILLINGTON,GARFORTH AND SWILLINGTON,WAKEFIELD ROAD (SWILLINATHELSTAN LANE,OTLEY,OTLEY AND YEADON,THE CROSSWAY,FARNLEY LANE,
ATKINSON STREET,HUNSLET,CITY AND HUNSLET,GOODMAN STREET,85YDS NORTH OF SOUTH ACCOMODATION ROAD,,,,
AUDBY LANE,WETHERBY,WETHERBY,YORK ROAD,SANDBECK WAY (408 490),,,,
AUSTHORPE LANE,AUSTHORPE,CROSS GATES AND WHINMOOR,AUSTHORPE ROAD,SELBY ROAD,,,,
AUSTHORPE ROAD,AUSTHORPE,CROSS GATES AND WHINMOOR,STATION ROAD,AUSTHORPE LANE,,,,
AVENUE HILL,HAREHILLS,CHAPEL ALLERTON,HAREHILLS LANE,HAREHILLS AVENUE,,,,
BACK CHURCH LANE,ADEL,ADEL AND WHARFEDALE,CHURCH LANE,STAIRFOOT LANE,,,,
BACK LANE,FARNLEY,FARNLEY AND WORTLEY,WHITEHALL ROAD (BETWEEN NOS. 730 & 740),TONG ROAD,,,,
BACK LANE,GUISELEY,GUISELEY AND RAWDON,PARK ROAD,OTLEY ROAD,,,,
BACK NEWTON LANE,LEDSTON,KIPPAX AND METHLEY,BARNSDALE ROAD A656,NEWTON LANE,,,,
BACKSTONE GILL LANE,WIKE,HAREWOOD,WIKE LANE,WIKE RIDGE LANE,,,,
BAGHILL ROAD,WEST ARDSLEY,MORLEY SOUTH,HEY BECK LANE,WESTERTON ROAD,,,,
BAGLEY LANE,FARSLEY,CALVERLEY AND FARSLEY,TOWN STREET/CALVERLEY LANE,AIREDALE MOUNT,,,,
BAGLEY LANE,RODLEY,CALVERLEY AND FARSLEY,TOWN STREET  RODLEY,AIREDALE MOUNT,,,,
BAILDON DRIVE,SEACROFT,CROSS GATES AND WHINMOOR,YORK ROAD,SHERBURN ROAD NORTH,,,,
BAILEYS LANE,SEACROFT,KILLINGBECK AND SEACROFT,NORTH PARKWAY,BROOKLANDS AVENUE,,,,
BALM ROAD,HUNSLET,CITY AND HUNSLET,CHURCH STREET,BELLE ISLE ROAD,,,,
BANK STREET,WETHERBY,WETHERBY,A. 661,B. 6164,,,,
BAR LANE,GARFORTH,GARFORTH AND SWILLINGTON,ABERFORD ROAD,JUNCTION OF CHURCH LANE AND NINELANDS LANE,,,,
BARFIELD CRESCENT,ALWOODLEY,ALWOODLEY,HIGH ASH AVENUE,HIGH ASH PartIVE AND HIGH ASH AVENUE,,,,
BARKLY ROAD,CROSS FLATTS,BEESTON AND HOLBECK,DEWSBURY ROAD,OLD LANE,,,,
BARLEYHILL ROAD,GARFORTH,GARFORTH AND SWILLINGTON,MAIN STREET,WAKEFIELD ROAD,,,,
BARNSDALE ROAD,MICKLETOWN,KIPPAX AND METHLEY,JUNCTION WITH CHURCH SIDE AND WATERGATE,JIN-WHIN HILL (HALFWAY OVER METHLEY BRIDGE),,,,
BARNSDALE ROAD,KIPPAX,KIPPAX AND METHLEY,JUNCTION WITH LONGDIKE LANE RIDGE ROAD & BACK NEWTON LANE,LOCK LANE,,,,
BARRACK ROAD,SHEEPSCAR,CITY AND HUNSLET,CHAPELTOWN ROAD,ROUNDHAY ROAD,,,,
BARROWBY LANE,GARFORTH,GARFORTH AND SWILLINGTON,BARWICK ROAD,TOWN END,,,,
BARWICK ROAD,GARFORTH,HAREWOOD,BARROWBY LANE,LONG LANE,,,,
BARWICK ROAD,STANKS,CROSS GATES AND WHINMOOR,OLD YORK ROAD,A6120 ROUNDABOUT,,,,
BARWICK ROAD,STANKS,CROSS GATES AND WHINMOOR,a6120 roundabout,LEEDS ROAD,,,,
BATLEY ROAD,WEST ARDSLEY,ARDSLEY AND ROBIN HOOD,HEY BECK LANE,WAKEFIELD BOUNDARY,,,,
BATTER LANE,RAWDON,GUISELEY AND RAWDON,HARROGATE ROAD,LARKFIELD ROAD,,,,
BAY HORSE LANE,SCARCROFT,HAREWOOD,TARN LANE,BEACON HILL LODGE,,,,
BAY HORSE LANE,SHADWELL,HAREWOOD,JUNC. MAIN ST / CARR LANE / COAL ROAD,JUNCTION WITH BRANDON CRESCENT,,,,
BAYSWATER ROAD,HAREHILLS,GIPTON AND HAREHILLS,ROUNDHAY ROAD,HAREHILLS ROAD,,,,
BAYTON LANE,HORSFORTH,OTLEY AND YEADON,LAYTON ROAD / BROWNBERRIE LANE,HARROGATE ROAD,,,,
BECKETT STREET,BURMANTOFTS,BURMANTOFTS AND RICHMOND HILL,JUNCTION WITH BURMANTOFTS STREET AND NIPPET LANE,JUNCTION WITH STANLEY ROAD ASHLEY ROAD AND HAREHILLS ROAD,,,,
BEECH HILL,OTLEY,OTLEY AND YEADON,KIRKGATE (OFF MANOR SQUARE),WESTGATE,,,,
BEECHWOOD,WOODLESFORD,ROTHWELL,CHURCH STREET,CHURCH STREET,,,,
BEECHWOOD CRESCENT,BURLEY,KIRKSTALL,CARDIGAN LANE,ST MICHAELS LANE,,,,
BEESTON ROAD,BEESTON,BEESTON AND HOLBECK,OLD LANE,HUNSLET HALL ROAD,,,,
BELLE ISLE CIRCUS,BELLE ISLE,MIDDLETON PARK,BELLE ISLE ROAD,BELLE ISLE ROAD,,,,
BELLE ISLE ROAD,BELLE ISLE,MIDDLETON PARK,BALM ROAD JUNCTION WITH MOOR ROAD,RING ROAD MIDDLETON,,,,
BELLE VUE AVENUE,SCHOLES,HAREWOOD,RAKEHILL ROAD,BELLE VUE ROAD,,,,
BELLE VUE ROAD,WOODHOUSE,HYDE PARK AND WOODHOUSE,PARK LANE,MOORLAND ROAD,,,,
BELLE VUE ROAD,SCHOLES,HAREWOOD,OAKLEA ROAD,BELLE VUE AVENUE,,,,
BENTCLIFFE AVENUE,MOORTOWN,MOORTOWN,BENTCLIFFE GARDENS,TALBOT AVENUE,,,,
BERRY LANE,GREAT PRESTON,GARFORTH AND SWILLINGTON,PRESTON LANE,STATION ROAD,,,,
BEZA STREET,HUNSLET,CITY AND HUNSLET,CHURCH STREET,HUNSLET DISTRIBUTOR ROAD,,,,
BILLAMS HILL,OTLEY,OTLEY AND YEADON,BRIDGE STREET,JUNCTION WITH NEWALL CARR ROAD AND WESTON LANE,,,,
BILLINGBAUK DRIVE,BRAMLEY,ARMLEY,STANNINGLEY ROAD,HOUGH END LANE,,,,
BINGLEY ROAD,HAWKSWORTH,GUISELEY AND RAWDON,OTLEY ROAD,HILLINGS LANE,,,,
BIRCHWOOD HILL,MOORTOWN,ALWOODLEY,RING ROAD MOORTOWN,SHADWELL LANE,,,,
BIRDCAGE WALK,OTLEY,OTLEY AND YEADON,WEST CHEVIN ROAD,EAST CHEVIN ROAD,,,,
BISHOPGATE STREET,CENTRAL,CITY AND HUNSLET,MILL HILL,BOAR LANE,,,,
BISHOPGATE STREET,CENTRAL,CITY AND HUNSLET,SWINEGATE,BOAR LANE,,,,
BLACK BULL STREET,CENTRAL,CITY AND HUNSLET,HUNSLET ROAD,EAST STREET,,,,
BLACK HILL LANE,ECCUP,ALWOODLEY,ARTHINGTON ROAD,ECCUP LANE,,,,
BLACK HILL ROAD,ARTHINGTON,ADEL AND WHARFEDALE,ARTHINGTON LANE,ARTHINGTON ROAD,,,,
BLACK MOOR ROAD,ALWOODLEY,ALWOODLEY,RING ROAD MOORTOWN,DEANSWOOD HILL,,,,
BLACKMAN LANE,WOODHOUSE,HYDE PARK AND WOODHOUSE,WOODHOUSE LANE,SLIP IN ONLY,,,,
BLACKMAN LANE,WOODHOUSE,HYDE PARK AND WOODHOUSE,WOODHOUSE LANE,LEICESTER PLACE,,,,
BLACKMOOR LANE,SCARCROFT,HAREWOOD,JUNCTION WITH TITHE BARN LANE AND CHURCH LANE,JUNCTION WITH SYKE LANE TARN LANE AND BAY HORSE LANE,,,,
BLENHEIM WALK,WOODHOUSE,HYDE PARK AND WOODHOUSE,BLACKMAN LANE,WOODHOUSE LANE,,,,
BLUE HILL LANE,WORTLEY,FARNLEY AND WORTLEY,SILVER ROYD HILL,FAWCETT LANE,,,,
BOAR LANE,CENTRAL,CITY AND HUNSLET,BRIGGATE,CITY SQUARE,,,,
BOAT LANE,METHLEY,KIPPAX AND METHLEY,GREEN LANE,LOWER MICKLETOWN,,,,
BODMIN APPROACH,MIDDLETON,MIDDLETON PARK,MIDDLETON PARK ROAD,BODMIN CRESCENT,,,,
BODMIN CRESCENT,MIDDLETON,MIDDLETON PARK,BODMIN ROAD,END,,,,
BODMIN ROAD,MIDDLETON,MIDDLETON PARK,BODMIN CRESCENT,MIDDLETON PARK ROAD,,,,
BOGGART HILL DRIVE,SEACROFT,KILLINGBECK AND SEACROFT,EASTERLY ROAD,KENTMERE AVENUE,,,,
BONDGATE,OTLEY,OTLEY AND YEADON,KIRKGATE,CHARLES STREET,,,,
BOROUGHGATE,OTLEY,OTLEY AND YEADON,MARKET PLACE,CROSS GREEN,,,,
BOSTON ROAD,CLIFFORD,WETHERBY,ALBION STREET/ CHAPEL LANE,ST JOHNS ROAD,,,,
BOSTON ROAD,WETHERBY,WETHERBY,A1 ROUNDABOUT,HIGH STREET,,,,
BOW STREET,HUNSLET,BURMANTOFTS AND RICHMOND HILL,RICHMOND STREET,ZION STREET,,,,
BOWCLIFFE ROAD,BRAMHAM,WETHERBY,TENDER HILL,GREAT NORTH ROAD,,,,
BRACKENWOOD DRIVE,ROUNDHAY,ROUNDHAY,LIDGETT LANE,LIDGETT LANE,,,,
BRADFORD ROAD,PUDSEY,CALVERLEY AND FARSLEY,JUNCTION WITH RING ROAD FARSLEY & STANNINGLEY BYPASS,JUNCTION WITH DICK LANE AND LEEDS ROAD,,,,
BRADFORD ROAD,EAST ARDSLEY,ARDSLEY AND ROBIN HOOD,TINGLEY COMMON,BLACKGATES SCHOOL,,,,
BRADFORD ROAD,DRIGHLINGTON,MORLEY NORTH,CITY BOUNDARY,KING STREET & WHITEHALL ROAD,,,,
BRADFORD ROAD,GILDERSOME,MORLEY NORTH,WAKEFIELD ROAD ( B6135 ),END - A62 ROUNDABOUT - GELDERED ROAD / PartIGHLINGTON BYPASS,,,,
BRADFORD ROAD,EAST ARDSLEY,ARDSLEY AND ROBIN HOOD,JUNCTION WITH MAIN STREET & ROYSTON HILL,JUNCTION WITH TINGLEY COMMON ROUNDABOUT DEWSBURY ROAD & M62,,,,
