1906,91.2,49.3,41.1,39.9,64.8,39.1,31.2,47.8,18.8,77.5,48.3,53.3
1907,14.5,34,61,62,70.4,77.5,54.6,72.9,11.7,132.1,59.9,55.1
1908,58.9,46.2,53.8,57.4,45.5,35.6,56.9,72.9,78.2,36.1,32.8,45.5
1909,37.8,17.3,74.9,93.2,28.4,48.5,73.2,34.5,47.8,82.8,37.8,94.7
1910,77.5,70.6,17,60.2,62.5,130.8,55.9,72.9,15,40.1,78.2,120.6
1911,22.1,35.1,42.7,32.3,30,39.1,56.4,31.7,32.3,90.2,95,83.6
1912,75.4,39.6,55.9,30,30.2,86.1,83.3,139.2,10.7,40.6,43.4,52.3
1913,99.1,18.3,63,69.8,76.2,35.3,20.3,18.5,104.1,112.5,56.9,48.5
1914,32.8,56.1,48.5,23.6,53.6,28.7,59.4,97.8,31.2,42.4,97.3,165.6
1915,75.2,75.9,21.6,41.1,40.6,37.6,139.7,58.4,23.4,102.4,101.1,124.5
1916,48,93.2,91.4,53.1,106.9,28.4,61.5,76.2,56.4,167.6,159,77.5
1917,33.5,49,65.5,36.6,73.9,31.7,42.9,185.2,43.4,84.3,49.3,69.1
1918,40.9,52.1,32.5,51.6,56.4,30.5,98.6,56.6,124.2,69.1,57.1,76.5
1919,73.7,37.3,63.8,30.2,46.5,61.7,28.7,55.9,50.5,52.8,61.5,102.1
1920,101.6,48.8,63.8,68.3,59.9,47.5,129.5,47.8,33,127.8,65.8,55.4
1921,79.2,22.4,64.5,22.1,82.3,6.6,89.9,67.3,37.1,62.5,57.7,68.6
1922,61.7,47,35.6,61.2,17.5,21.6,54.6,95.2,64.8,18.5,9.9,56.1
1923,47.8,119.9,22.6,82.5,45.7,29.2,89.2,110.7,58.7,55.6,51.3,52.8
1924,88.6,12.2,19.3,50.5,83.3,76.2,99.8,80,134.4,51.8,57.4,97.5
1925,62.7,107.7,19.8,63,141,6.6,69.8,35.3,58.7,63.8,66.8,45
1926,88.4,40.6,23.6,50.3,73.4,66,63.2,53.6,42.7,79.2,88.9,23.4
1927,78,59.7,74.7,33.3,19.3,75.4,76.7,140.7,101.1,70.1,76.5,53.6
1928,72.4,61.7,102.9,12.2,35.8,118.6,37.1,100.8,21.1,72.4,91.7,63.5
1929,22.6,51.8,6.9,32.5,38.6,35.1,67.3,118.6,15.2,71.1,121.2,139.4
1930,102.6,30.5,97.8,34.5,55.6,43.7,88.9,127.5,170.9,81.5,69.1,79.2
1931,43.4,37.3,31,59.9,72.9,95.5,89.7,72.9,113.3,25.1,101.3,35.6
1932,67.6,6.3,46,70.1,100.8,12.2,129.8,40.1,73.4,70.1,35.1,100.3
1933,48,100.1,47.8,16.3,53.1,45.2,48.3,19,24.1,69.1,31.7,40.4
1934,50,4.3,58.9,56.9,32.5,45.2,45.2,83.6,77.5,52.3,46.2,112
1935,25.9,95,18.3,52.3,50.3,73.9,15.7,55.9,99.8,65.3,90.4,34
1936,84.6,50.8,38.4,51.1,28.2,71.1,164.8,27.4,68.6,41.9,58.9,63.8
1937,71.1,83.1,119.9,38.6,29.5,33.3,44.2,59.4,36.8,113,55.1,44.2
1938,64.3,15,21.6,1.5,64,65.5,98.8,54.1,34.8,141,64.5,76.2
1939,84.8,50.5,70.1,51.8,17,53.8,65.3,58.4,73.4,73.4,108.2,51.1
1940,81,84.6,35.6,83.3,25.1,22.4,104.1,15.5,52.8,134.1,92.2,43.7
1941,110.8,57.6,92.2,71.1,61.9,29.3,46.4,83.7,24.4,48.8,67.3,41.5
1942,94.2,25.2,76.4,36.6,108.2,4,57,93,122.8,33,9.7,63.4
1943,105.9,22,20.4,33.8,88.1,80.6,45.8,55.7,70.8,54.8,51.7,38
1944,85.3,24.8,11.5,44.1,22.4,32.4,53.6,56.9,146.7,71.8,127.8,45.6
1945,30.6,58.4,13.1,37.3,49.4,83.4,82.9,17.2,75.1,43.6,15.3,75.4
1946,59.1,89,43,32.3,60.2,70.4,61.8,129,145.6,51.3,101.1,77.9
1947,69.9,62.3,148.6,70.5,95.2,97.3,69.2,32.7,59.5,20.5,71.1,119.4
1948,171.1,35.3,39.4,62.5,64.1,71.1,57,88.6,57.1,35.1,41.6,107.1
